original,disfluent,tokenized_disfluent,tokenized_fluent,disfluent_sentence,fluent_tokens,disfluent_tokens,annotations,disfl_type,label,degree
Besides the study of prime numbers what general theory was considered the official example of the military,Besides the study of algorithms or no make that of prime numbers what general theory was considered the official example of the military,"['Besides', 'the', 'study', 'of', 'algorithms', 'or', 'no', 'make', 'that', 'of', 'prime', 'numbers', 'what', 'general', 'theory', 'was', 'considered', 'the', 'official', 'example', 'of', 'the', 'military']","['Besides', 'the', 'study', 'of', 'prime', 'numbers', 'what', 'general', 'theory', 'was', 'considered', 'the', 'official', 'example', 'of', 'the', 'military']",Besides the study of prime numbers what general theory abound wait theory was considered the official example of the military,"['Besides', 'the', 'study', 'of', 'prime', 'numbers', 'what', 'general', 'theory', 'was', 'considered', 'the', 'official', 'example', 'of', 'the', 'military']","['Besides', 'the', 'study', 'of', 'prime', 'numbers', 'what', 'general', 'theory', 'abound', 'wait', 'theory', 'was', 'considered', 'the', 'official', 'example', 'of', 'the', 'military']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What protocol was popular in the 1970s and 80s for Apple,What protocol was popular in the 1980s and 90s no the 70s and 80s for Apple,"['What', 'protocol', 'was', 'popular', 'in', 'the', '1980s', 'and', '90s', 'no', 'the', '70s', 'and', '80s', 'for', 'Apple']","['What', 'protocol', 'was', 'popular', 'in', 'the', '1970s', 'and', '80s', 'for', 'Apple']",What protocol be no i meant to say was popular in the 1970s and 80s for Apple,"['What', 'protocol', 'was', 'popular', 'in', 'the', '1970s', 'and', '80s', 'for', 'Apple']","['What', 'protocol', 'be', 'no', 'i', 'meant', 'to', 'say', 'was', 'popular', 'in', 'the', '1970s', 'and', '80s', 'for', 'Apple']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What principle highlights the significance of real numbers,What principle highlights the significance of  primes in number theory no sorry real numbers rather,"['What', 'principle', 'highlights', 'the', 'significance', 'of', 'primes', 'in', 'number', 'theory', 'no', 'sorry', 'real', 'numbers', 'rather']","['What', 'principle', 'highlights', 'the', 'significance', 'of', 'real', 'numbers']",What principle highlight no highlights the significance of real numbers,"['What', 'principle', 'highlights', 'the', 'significance', 'of', 'real', 'numbers']","['What', 'principle', 'highlight', 'no', 'highlights', 'the', 'significance', 'of', 'real', 'numbers']","['F', 'F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What are ctenophora commonly known as,What are cnidarians commonly known as or rather ctenophora,"['What', 'are', 'cnidarians', 'commonly', 'known', 'as', 'or', 'rather', 'ctenophora']","['What', 'are', 'ctenophora', 'commonly', 'known', 'as']",What are ctenophora commonly identify no i meant to say known as,"['What', 'are', 'ctenophora', 'commonly', 'known', 'as']","['What', 'are', 'ctenophora', 'commonly', 'identify', 'no', 'i', 'meant', 'to', 'say', 'known', 'as']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",verb_with_cue,2,N/A
How would the geographical societies in Europe reject certain travelers,What no I mean how would the geographical societies in Europe reject certain travelers,"['What', 'no', 'I', 'mean', 'how', 'would', 'the', 'geographical', 'societies', 'in', 'Europe', 'reject', 'certain', 'travelers']","['How', 'would', 'the', 'geographical', 'societies', 'in', 'Europe', 'reject', 'certain', 'travelers']",How would the geographical societies in Europe insist no reject certain travelers,"['How', 'would', 'the', 'geographical', 'societies', 'in', 'Europe', 'reject', 'certain', 'travelers']","['How', 'would', 'the', 'geographical', 'societies', 'in', 'Europe', 'insist', 'no', 'reject', 'certain', 'travelers']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
What coreceptor recruits molecules inside the T cell that are responsible for cell activation,What antigens do Helper T cells not recognize no sorry what coreceptor recruits molecules inside the T cell that are responsible for cell activation,"['What', 'antigens', 'do', 'Helper', 'T', 'cells', 'not', 'recognize', 'no', 'sorry', 'what', 'coreceptor', 'recruits', 'molecules', 'inside', 'the', 'T', 'cell', 'that', 'are', 'responsible', 'for', 'cell', 'activation']","['What', 'coreceptor', 'recruits', 'molecules', 'inside', 'the', 'T', 'cell', 'that', 'are', 'responsible', 'for', 'cell', 'activation']",What coreceptor recruit well I actually meant recruits molecules inside the T cell that are responsible for cell activation,"['What', 'coreceptor', 'recruits', 'molecules', 'inside', 'the', 'T', 'cell', 'that', 'are', 'responsible', 'for', 'cell', 'activation']","['What', 'coreceptor', 'recruit', 'well', 'I', 'actually', 'meant', 'recruits', 'molecules', 'inside', 'the', 'T', 'cell', 'that', 'are', 'responsible', 'for', 'cell', 'activation']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Why was Wegeners theory important for understanding the lithosphere,Why was Wegeners theory important for understanding volcanos er  the lithosphere,"['Why', 'was', 'Wegeners', 'theory', 'important', 'for', 'understanding', 'volcanos', 'er', 'the', 'lithosphere']","['Why', 'was', 'Wegeners', 'theory', 'important', 'for', 'understanding', 'the', 'lithosphere']",Why be no sorry Why was Wegeners theory important for understanding the lithosphere,"['Why', 'was', 'Wegeners', 'theory', 'important', 'for', 'understanding', 'the', 'lithosphere']","['Why', 'be', 'no', 'sorry', 'Why', 'was', 'Wegeners', 'theory', 'important', 'for', 'understanding', 'the', 'lithosphere']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who can propose the date of the poll be varied by up to three months,How do the propose no rather who can propose the date of the poll be varied by up to three months,"['How', 'do', 'the', 'propose', 'no', 'rather', 'who', 'can', 'propose', 'the', 'date', 'of', 'the', 'poll', 'be', 'varied', 'by', 'up', 'to', 'three', 'months']","['Who', 'can', 'propose', 'the', 'date', 'of', 'the', 'poll', 'be', 'varied', 'by', 'up', 'to', 'three', 'months']",Who can intend well I actually meant can propose the date of the poll be varied by up to three months,"['Who', 'can', 'propose', 'the', 'date', 'of', 'the', 'poll', 'be', 'varied', 'by', 'up', 'to', 'three', 'months']","['Who', 'can', 'intend', 'well', 'I', 'actually', 'meant', 'can', 'propose', 'the', 'date', 'of', 'the', 'poll', 'be', 'varied', 'by', 'up', 'to', 'three', 'months']","['F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What is an example of a chemical barrier,What response no what is an example of a chemical barrier,"['What', 'response', 'no', 'what', 'is', 'an', 'example', 'of', 'a', 'chemical', 'barrier']","['What', 'is', 'an', 'example', 'of', 'a', 'chemical', 'barrier']",What be no is an example of a chemical barrier,"['What', 'is', 'an', 'example', 'of', 'a', 'chemical', 'barrier']","['What', 'be', 'no', 'is', 'an', 'example', 'of', 'a', 'chemical', 'barrier']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Which French composer wrote ametrical music using prime numbers,Which French composer employs motifs with lengths no wrote ametrical music using prime numbers,"['Which', 'French', 'composer', 'employs', 'motifs', 'with', 'lengths', 'no', 'wrote', 'ametrical', 'music', 'using', 'prime', 'numbers']","['Which', 'French', 'composer', 'wrote', 'ametrical', 'music', 'using', 'prime', 'numbers']",Which French composer wrote ametrical music use no wait a minute ametrical music using prime numbers,"['Which', 'French', 'composer', 'wrote', 'ametrical', 'music', 'using', 'prime', 'numbers']","['Which', 'French', 'composer', 'wrote', 'ametrical', 'music', 'use', 'no', 'wait', 'a', 'minute', 'ametrical', 'music', 'using', 'prime', 'numbers']","['F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Which canal was dug in France to carry Rhines water,Which canal was dug in Italy sorry France to carry Rhines water,"['Which', 'canal', 'was', 'dug', 'in', 'Italy', 'sorry', 'France', 'to', 'carry', 'Rhines', 'water']","['Which', 'canal', 'was', 'dug', 'in', 'France', 'to', 'carry', 'Rhines', 'water']",Which canal be no wait a minute was dug in France to carry Rhines water,"['Which', 'canal', 'was', 'dug', 'in', 'France', 'to', 'carry', 'Rhines', 'water']","['Which', 'canal', 'be', 'no', 'wait', 'a', 'minute', 'was', 'dug', 'in', 'France', 'to', 'carry', 'Rhines', 'water']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Who was Kaidus uncle,Who was Kaidus father no no no uncle,"['Who', 'was', 'Kaidus', 'father', 'no', 'no', 'no', 'uncle']","['Who', 'was', 'Kaidus', 'uncle']",Who be actually no was Kaidus uncle,"['Who', 'was', 'Kaidus', 'uncle']","['Who', 'be', 'actually', 'no', 'was', 'Kaidus', 'uncle']","['F', 'D', 'D', 'D', 'F', 'F', 'F']",verb_with_cue,2,N/A
What dont capitalist firms substitute equipment for in a Marxian analysis,What dont capitalist firms substitute equipment for in a regression sorry Marxian analysis,"['What', 'dont', 'capitalist', 'firms', 'substitute', 'equipment', 'for', 'in', 'a', 'regression', 'sorry', 'Marxian', 'analysis']","['What', 'dont', 'capitalist', 'firms', 'substitute', 'equipment', 'for', 'in', 'a', 'Marxian', 'analysis']",What dont capitalist firms oust I mean capitalist firms substitute equipment for in a Marxian analysis,"['What', 'dont', 'capitalist', 'firms', 'substitute', 'equipment', 'for', 'in', 'a', 'Marxian', 'analysis']","['What', 'dont', 'capitalist', 'firms', 'oust', 'I', 'mean', 'capitalist', 'firms', 'substitute', 'equipment', 'for', 'in', 'a', 'Marxian', 'analysis']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Working versions of 3Dprinting building technology are already printing how much building material per hour,Working versions of 3Dprinting building technology are already printing how much building material daily no actually I want to know per hour,"['Working', 'versions', 'of', '3Dprinting', 'building', 'technology', 'are', 'already', 'printing', 'how', 'much', 'building', 'material', 'daily', 'no', 'actually', 'I', 'want', 'to', 'know', 'per', 'hour']","['Working', 'versions', 'of', '3Dprinting', 'building', 'technology', 'are', 'already', 'printing', 'how', 'much', 'building', 'material', 'per', 'hour']",Working versions of 3Dprinting building technology be well I actually mean technology are already printing how much building material per hour,"['Working', 'versions', 'of', '3Dprinting', 'building', 'technology', 'are', 'already', 'printing', 'how', 'much', 'building', 'material', 'per', 'hour']","['Working', 'versions', 'of', '3Dprinting', 'building', 'technology', 'be', 'well', 'I', 'actually', 'mean', 'technology', 'are', 'already', 'printing', 'how', 'much', 'building', 'material', 'per', 'hour']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
When did the First Pandemic end,Where did the or rather when did the First Pandemic end,"['Where', 'did', 'the', 'or', 'rather', 'when', 'did', 'the', 'First', 'Pandemic', 'end']","['When', 'did', 'the', 'First', 'Pandemic', 'end']",When come wait a minute When did the First Pandemic end,"['When', 'did', 'the', 'First', 'Pandemic', 'end']","['When', 'come', 'wait', 'a', 'minute', 'When', 'did', 'the', 'First', 'Pandemic', 'end']","['D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Parliaments temporary home was on the Royal Mills in what area,Which building er parliaments temporary home was on the Royal Mills in what area,"['Which', 'building', 'er', 'parliaments', 'temporary', 'home', 'was', 'on', 'the', 'Royal', 'Mills', 'in', 'what', 'area']","['Parliaments', 'temporary', 'home', 'was', 'on', 'the', 'Royal', 'Mills', 'in', 'what', 'area']",Parliaments temporary home be no wait a minute was on the Royal Mills in what area,"['Parliaments', 'temporary', 'home', 'was', 'on', 'the', 'Royal', 'Mills', 'in', 'what', 'area']","['Parliaments', 'temporary', 'home', 'be', 'no', 'wait', 'a', 'minute', 'was', 'on', 'the', 'Royal', 'Mills', 'in', 'what', 'area']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
The southern flow retains the name IJssel until it flows into what,The southern flow retains the name Boven Merwede no I meant IJssel until it flows into what,"['The', 'southern', 'flow', 'retains', 'the', 'name', 'Boven', 'Merwede', 'no', 'I', 'meant', 'IJssel', 'until', 'it', 'flows', 'into', 'what']","['The', 'southern', 'flow', 'retains', 'the', 'name', 'IJssel', 'until', 'it', 'flows', 'into', 'what']",The southern flow retain well I actually mean retains the name IJssel until it flows into what,"['The', 'southern', 'flow', 'retains', 'the', 'name', 'IJssel', 'until', 'it', 'flows', 'into', 'what']","['The', 'southern', 'flow', 'retain', 'well', 'I', 'actually', 'mean', 'retains', 'the', 'name', 'IJssel', 'until', 'it', 'flows', 'into', 'what']","['F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
A maid stopped to rest on the sandy beach by what village,A fishan stopped to rest on the sandy beach by what village no sorry a maid,"['A', 'fishan', 'stopped', 'to', 'rest', 'on', 'the', 'sandy', 'beach', 'by', 'what', 'village', 'no', 'sorry', 'a', 'maid']","['A', 'maid', 'stopped', 'to', 'rest', 'on', 'the', 'sandy', 'beach', 'by', 'what', 'village']",A maid stop well I actually meant stopped to rest on the sandy beach by what village,"['A', 'maid', 'stopped', 'to', 'rest', 'on', 'the', 'sandy', 'beach', 'by', 'what', 'village']","['A', 'maid', 'stop', 'well', 'I', 'actually', 'meant', 'stopped', 'to', 'rest', 'on', 'the', 'sandy', 'beach', 'by', 'what', 'village']","['F', 'F', 'D', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What other activities does the UNFCCC require the IPCC to run,What councils assign tasks make that other activities does the UNFCCC require the IPCC to run,"['What', 'councils', 'assign', 'tasks', 'make', 'that', 'other', 'activities', 'does', 'the', 'UNFCCC', 'require', 'the', 'IPCC', 'to', 'run']","['What', 'other', 'activities', 'does', 'the', 'UNFCCC', 'require', 'the', 'IPCC', 'to', 'run']",What other activities does the UNFCCC want I mean UNFCCC require the IPCC to run,"['What', 'other', 'activities', 'does', 'the', 'UNFCCC', 'require', 'the', 'IPCC', 'to', 'run']","['What', 'other', 'activities', 'does', 'the', 'UNFCCC', 'want', 'I', 'mean', 'UNFCCC', 'require', 'the', 'IPCC', 'to', 'run']","['F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
What experiments are used to understand how magma flows,Which experiment What experiments are used to understand how magma flows,"['Which', 'experiment', 'What', 'experiments', 'are', 'used', 'to', 'understand', 'how', 'magma', 'flows']","['What', 'experiments', 'are', 'used', 'to', 'understand', 'how', 'magma', 'flows']",What experiments are used to understand how magma flow no wait a minute magma flows,"['What', 'experiments', 'are', 'used', 'to', 'understand', 'how', 'magma', 'flows']","['What', 'experiments', 'are', 'used', 'to', 'understand', 'how', 'magma', 'flow', 'no', 'wait', 'a', 'minute', 'magma', 'flows']","['F', 'F', 'F', 'F', 'F', 'F', 'F', 'D', 'D', 'D', 'D', 'D', 'D', 'F', 'F']",verb_with_cue,2,N/A
What are produced from a large number of genes,Where is no What are produced from a large number of genes,"['Where', 'is', 'no', 'What', 'are', 'produced', 'from', 'a', 'large', 'number', 'of', 'genes']","['What', 'are', 'produced', 'from', 'a', 'large', 'number', 'of', 'genes']",What be no are produced from a large number of genes,"['What', 'are', 'produced', 'from', 'a', 'large', 'number', 'of', 'genes']","['What', 'be', 'no', 'are', 'produced', 'from', 'a', 'large', 'number', 'of', 'genes']","['F', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
Over 100 Egyptian police were victims of what groups campaign of terror,What did no Over 100 Egyptian police were victims of what groups campaign of terror,"['What', 'did', 'no', 'Over', '100', 'Egyptian', 'police', 'were', 'victims', 'of', 'what', 'groups', 'campaign', 'of', 'terror']","['Over', '100', 'Egyptian', 'police', 'were', 'victims', 'of', 'what', 'groups', 'campaign', 'of', 'terror']",Over 100 Egyptian police be wait police were victims of what groups campaign of terror,"['Over', '100', 'Egyptian', 'police', 'were', 'victims', 'of', 'what', 'groups', 'campaign', 'of', 'terror']","['Over', '100', 'Egyptian', 'police', 'be', 'wait', 'police', 'were', 'victims', 'of', 'what', 'groups', 'campaign', 'of', 'terror']","['F', 'F', 'F', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
How old were the fossils found in China,How old were the Vendobionta found in China no no how old were the fossil found China not the Vendobionta,"['How', 'old', 'were', 'the', 'Vendobionta', 'found', 'in', 'China', 'no', 'no', 'how', 'old', 'were', 'the', 'fossil', 'found', 'China', 'not', 'the', 'Vendobionta']","['How', 'old', 'were', 'the', 'fossils', 'found', 'in', 'China']",How old be sorry How old were the fossils found in China,"['How', 'old', 'were', 'the', 'fossils', 'found', 'in', 'China']","['How', 'old', 'be', 'sorry', 'How', 'old', 'were', 'the', 'fossils', 'found', 'in', 'China']","['D', 'D', 'D', 'D', 'F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']",verb_with_cue,2,N/A
